ChunkContent,Subject,Predicate,Object,Confidence,Expert Answer,Short Justification
"2. The cosmetic nail composition according to claim 1, wherein the difunctional acrylate oligomer comprises a urethane monomer, and the plurality of UV-curable materials consists of the urethane
monomer and a polymerizable (meth)acrylate.
3. The cosmetic nail composition according to claim 2, wherein the urethane monomer is a urethane acrylate monomer, and the polymerizable (meth)acrylate is pyromellitic dimethacrylate.
4. The cosmetic nail composition according to claim 3, wherein the urethane acrylate monomer is present in an amount from 8-15% by weight of the cosmetic nail composition, and the pyromellitic dimethacrylate is present in an amount from 2-8% by weight of the cosmetic nail composition.
5. The cosmetic nail composition according to claim 1, wherein the photoinitiator is a type I photoinitiator.
6. The cosmetic nail composition according to claim 5, wherein the type I photoinitiator is ethyl trimethylbenzoyl phenylphosphinate.
7. The cosmetic nail composition according to claim 1, wherein the UV gel portion is present in a total amount of 19-50% by weight of the cosmetic nail composition.
8. The cosmetic nail composition according to claim 7, wherein the photoinitiator is present in a total amount of 3-6% by weight of the cosmetic nail composition.
",difunctional acrylate oligomer,comprises,urethane monomer,0.95,,
"2. The cosmetic nail composition according to claim 1, wherein the difunctional acrylate oligomer comprises a urethane monomer, and the plurality of UV-curable materials consists of the urethane
monomer and a polymerizable (meth)acrylate.
3. The cosmetic nail composition according to claim 2, wherein the urethane monomer is a urethane acrylate monomer, and the polymerizable (meth)acrylate is pyromellitic dimethacrylate.
4. The cosmetic nail composition according to claim 3, wherein the urethane acrylate monomer is present in an amount from 8-15% by weight of the cosmetic nail composition, and the pyromellitic dimethacrylate is present in an amount from 2-8% by weight of the cosmetic nail composition.
5. The cosmetic nail composition according to claim 1, wherein the photoinitiator is a type I photoinitiator.
6. The cosmetic nail composition according to claim 5, wherein the type I photoinitiator is ethyl trimethylbenzoyl phenylphosphinate.
7. The cosmetic nail composition according to claim 1, wherein the UV gel portion is present in a total amount of 19-50% by weight of the cosmetic nail composition.
8. The cosmetic nail composition according to claim 7, wherein the photoinitiator is present in a total amount of 3-6% by weight of the cosmetic nail composition.
",plurality of UV-curable materials,consists of,urethane monomer and polymerizable (meth)acrylate,0.93,,
"2. The cosmetic nail composition according to claim 1, wherein the difunctional acrylate oligomer comprises a urethane monomer, and the plurality of UV-curable materials consists of the urethane
monomer and a polymerizable (meth)acrylate.
3. The cosmetic nail composition according to claim 2, wherein the urethane monomer is a urethane acrylate monomer, and the polymerizable (meth)acrylate is pyromellitic dimethacrylate.
4. The cosmetic nail composition according to claim 3, wherein the urethane acrylate monomer is present in an amount from 8-15% by weight of the cosmetic nail composition, and the pyromellitic dimethacrylate is present in an amount from 2-8% by weight of the cosmetic nail composition.
5. The cosmetic nail composition according to claim 1, wherein the photoinitiator is a type I photoinitiator.
6. The cosmetic nail composition according to claim 5, wherein the type I photoinitiator is ethyl trimethylbenzoyl phenylphosphinate.
7. The cosmetic nail composition according to claim 1, wherein the UV gel portion is present in a total amount of 19-50% by weight of the cosmetic nail composition.
8. The cosmetic nail composition according to claim 7, wherein the photoinitiator is present in a total amount of 3-6% by weight of the cosmetic nail composition.
",urethane monomer,is,urethane acrylate monomer,0.92,,
"2. The cosmetic nail composition according to claim 1, wherein the difunctional acrylate oligomer comprises a urethane monomer, and the plurality of UV-curable materials consists of the urethane
monomer and a polymerizable (meth)acrylate.
3. The cosmetic nail composition according to claim 2, wherein the urethane monomer is a urethane acrylate monomer, and the polymerizable (meth)acrylate is pyromellitic dimethacrylate.
4. The cosmetic nail composition according to claim 3, wherein the urethane acrylate monomer is present in an amount from 8-15% by weight of the cosmetic nail composition, and the pyromellitic dimethacrylate is present in an amount from 2-8% by weight of the cosmetic nail composition.
5. The cosmetic nail composition according to claim 1, wherein the photoinitiator is a type I photoinitiator.
6. The cosmetic nail composition according to claim 5, wherein the type I photoinitiator is ethyl trimethylbenzoyl phenylphosphinate.
7. The cosmetic nail composition according to claim 1, wherein the UV gel portion is present in a total amount of 19-50% by weight of the cosmetic nail composition.
8. The cosmetic nail composition according to claim 7, wherein the photoinitiator is present in a total amount of 3-6% by weight of the cosmetic nail composition.
",polymerizable (meth)acrylate,is,pyromellitic dimethacrylate,0.9,,
"2. The cosmetic nail composition according to claim 1, wherein the difunctional acrylate oligomer comprises a urethane monomer, and the plurality of UV-curable materials consists of the urethane
monomer and a polymerizable (meth)acrylate.
3. The cosmetic nail composition according to claim 2, wherein the urethane monomer is a urethane acrylate monomer, and the polymerizable (meth)acrylate is pyromellitic dimethacrylate.
4. The cosmetic nail composition according to claim 3, wherein the urethane acrylate monomer is present in an amount from 8-15% by weight of the cosmetic nail composition, and the pyromellitic dimethacrylate is present in an amount from 2-8% by weight of the cosmetic nail composition.
5. The cosmetic nail composition according to claim 1, wherein the photoinitiator is a type I photoinitiator.
6. The cosmetic nail composition according to claim 5, wherein the type I photoinitiator is ethyl trimethylbenzoyl phenylphosphinate.
7. The cosmetic nail composition according to claim 1, wherein the UV gel portion is present in a total amount of 19-50% by weight of the cosmetic nail composition.
8. The cosmetic nail composition according to claim 7, wherein the photoinitiator is present in a total amount of 3-6% by weight of the cosmetic nail composition.
",urethane acrylate monomer,is present in,8-15% by weight of the cosmetic nail composition,0.91,,
"2. The cosmetic nail composition according to claim 1, wherein the difunctional acrylate oligomer comprises a urethane monomer, and the plurality of UV-curable materials consists of the urethane
monomer and a polymerizable (meth)acrylate.
3. The cosmetic nail composition according to claim 2, wherein the urethane monomer is a urethane acrylate monomer, and the polymerizable (meth)acrylate is pyromellitic dimethacrylate.
4. The cosmetic nail composition according to claim 3, wherein the urethane acrylate monomer is present in an amount from 8-15% by weight of the cosmetic nail composition, and the pyromellitic dimethacrylate is present in an amount from 2-8% by weight of the cosmetic nail composition.
5. The cosmetic nail composition according to claim 1, wherein the photoinitiator is a type I photoinitiator.
6. The cosmetic nail composition according to claim 5, wherein the type I photoinitiator is ethyl trimethylbenzoyl phenylphosphinate.
7. The cosmetic nail composition according to claim 1, wherein the UV gel portion is present in a total amount of 19-50% by weight of the cosmetic nail composition.
8. The cosmetic nail composition according to claim 7, wherein the photoinitiator is present in a total amount of 3-6% by weight of the cosmetic nail composition.
",pyromellitic dimethacrylate,is present in,2-8% by weight of the cosmetic nail composition,0.91,,
"2. The cosmetic nail composition according to claim 1, wherein the difunctional acrylate oligomer comprises a urethane monomer, and the plurality of UV-curable materials consists of the urethane
monomer and a polymerizable (meth)acrylate.
3. The cosmetic nail composition according to claim 2, wherein the urethane monomer is a urethane acrylate monomer, and the polymerizable (meth)acrylate is pyromellitic dimethacrylate.
4. The cosmetic nail composition according to claim 3, wherein the urethane acrylate monomer is present in an amount from 8-15% by weight of the cosmetic nail composition, and the pyromellitic dimethacrylate is present in an amount from 2-8% by weight of the cosmetic nail composition.
5. The cosmetic nail composition according to claim 1, wherein the photoinitiator is a type I photoinitiator.
6. The cosmetic nail composition according to claim 5, wherein the type I photoinitiator is ethyl trimethylbenzoyl phenylphosphinate.
7. The cosmetic nail composition according to claim 1, wherein the UV gel portion is present in a total amount of 19-50% by weight of the cosmetic nail composition.
8. The cosmetic nail composition according to claim 7, wherein the photoinitiator is present in a total amount of 3-6% by weight of the cosmetic nail composition.
",photoinitiator,is,type I photoinitiator,0.92,,
"2. The cosmetic nail composition according to claim 1, wherein the difunctional acrylate oligomer comprises a urethane monomer, and the plurality of UV-curable materials consists of the urethane
monomer and a polymerizable (meth)acrylate.
3. The cosmetic nail composition according to claim 2, wherein the urethane monomer is a urethane acrylate monomer, and the polymerizable (meth)acrylate is pyromellitic dimethacrylate.
4. The cosmetic nail composition according to claim 3, wherein the urethane acrylate monomer is present in an amount from 8-15% by weight of the cosmetic nail composition, and the pyromellitic dimethacrylate is present in an amount from 2-8% by weight of the cosmetic nail composition.
5. The cosmetic nail composition according to claim 1, wherein the photoinitiator is a type I photoinitiator.
6. The cosmetic nail composition according to claim 5, wherein the type I photoinitiator is ethyl trimethylbenzoyl phenylphosphinate.
7. The cosmetic nail composition according to claim 1, wherein the UV gel portion is present in a total amount of 19-50% by weight of the cosmetic nail composition.
8. The cosmetic nail composition according to claim 7, wherein the photoinitiator is present in a total amount of 3-6% by weight of the cosmetic nail composition.
",type I photoinitiator,is,ethyl trimethylbenzoyl phenylphosphinate,0.93,,
"2. The cosmetic nail composition according to claim 1, wherein the difunctional acrylate oligomer comprises a urethane monomer, and the plurality of UV-curable materials consists of the urethane
monomer and a polymerizable (meth)acrylate.
3. The cosmetic nail composition according to claim 2, wherein the urethane monomer is a urethane acrylate monomer, and the polymerizable (meth)acrylate is pyromellitic dimethacrylate.
4. The cosmetic nail composition according to claim 3, wherein the urethane acrylate monomer is present in an amount from 8-15% by weight of the cosmetic nail composition, and the pyromellitic dimethacrylate is present in an amount from 2-8% by weight of the cosmetic nail composition.
5. The cosmetic nail composition according to claim 1, wherein the photoinitiator is a type I photoinitiator.
6. The cosmetic nail composition according to claim 5, wherein the type I photoinitiator is ethyl trimethylbenzoyl phenylphosphinate.
7. The cosmetic nail composition according to claim 1, wherein the UV gel portion is present in a total amount of 19-50% by weight of the cosmetic nail composition.
8. The cosmetic nail composition according to claim 7, wherein the photoinitiator is present in a total amount of 3-6% by weight of the cosmetic nail composition.
",UV gel portion,is present in,19-50% by weight of the cosmetic nail composition,0.9,,
"2. The cosmetic nail composition according to claim 1, wherein the difunctional acrylate oligomer comprises a urethane monomer, and the plurality of UV-curable materials consists of the urethane
monomer and a polymerizable (meth)acrylate.
3. The cosmetic nail composition according to claim 2, wherein the urethane monomer is a urethane acrylate monomer, and the polymerizable (meth)acrylate is pyromellitic dimethacrylate.
4. The cosmetic nail composition according to claim 3, wherein the urethane acrylate monomer is present in an amount from 8-15% by weight of the cosmetic nail composition, and the pyromellitic dimethacrylate is present in an amount from 2-8% by weight of the cosmetic nail composition.
5. The cosmetic nail composition according to claim 1, wherein the photoinitiator is a type I photoinitiator.
6. The cosmetic nail composition according to claim 5, wherein the type I photoinitiator is ethyl trimethylbenzoyl phenylphosphinate.
7. The cosmetic nail composition according to claim 1, wherein the UV gel portion is present in a total amount of 19-50% by weight of the cosmetic nail composition.
8. The cosmetic nail composition according to claim 7, wherein the photoinitiator is present in a total amount of 3-6% by weight of the cosmetic nail composition.
",photoinitiator,is present in,3-6% by weight of the cosmetic nail composition,0.89,,
"9. The cosmetic nail composition according to claim 1, wherein the solvent-based portion further comprises at least one film forming agent.
",Cosmetic Nail Composition,is according to,claim 1,0.95,,
"9. The cosmetic nail composition according to claim 1, wherein the solvent-based portion further comprises at least one film forming agent.
",Solvent-Based Portion,comprises,at least one Film Forming Agent,0.92,,
"10. The cosmetic nail composition according to claim 9, wherein the at least one film forming agent comprises a cellulose film forming agent.
11. The cosmetic nail composition according to claim 10, wherein the cellulose film forming agent is nitrocellulose and/or cellulose acetate butyrate.
",Nail Formulations,include,cosmetic nail composition,0.85,,
"10. The cosmetic nail composition according to claim 9, wherein the at least one film forming agent comprises a cellulose film forming agent.
11. The cosmetic nail composition according to claim 10, wherein the cellulose film forming agent is nitrocellulose and/or cellulose acetate butyrate.
",cosmetic nail composition,comprises,film forming agent,0.87,,
"10. The cosmetic nail composition according to claim 9, wherein the at least one film forming agent comprises a cellulose film forming agent.
11. The cosmetic nail composition according to claim 10, wherein the cellulose film forming agent is nitrocellulose and/or cellulose acetate butyrate.
",film forming agent,comprises,cellulose film forming agent,0.9,,
"10. The cosmetic nail composition according to claim 9, wherein the at least one film forming agent comprises a cellulose film forming agent.
11. The cosmetic nail composition according to claim 10, wherein the cellulose film forming agent is nitrocellulose and/or cellulose acetate butyrate.
",cellulose film forming agent,is,nitrocellulose,0.92,,
"10. The cosmetic nail composition according to claim 9, wherein the at least one film forming agent comprises a cellulose film forming agent.
11. The cosmetic nail composition according to claim 10, wherein the cellulose film forming agent is nitrocellulose and/or cellulose acetate butyrate.
",cellulose film forming agent,is,cellulose acetate butyrate,0.92,,
"12. The cosmetic nail composition according to claim 10, wherein the at least one film forming agent comprises an acrylate film forming agent.
13. The cosmetic nail composition according to claim 12, wherein the acrylate film forming agent includes acrylates copolymer, acrylates/isobornyl acrylate copolymer, and/or tricyclodecanedimenahnol diacrylate.
",Nail Formulations,include,Solvent-Based Portion and Film Forming Agents,0.85,,
"12. The cosmetic nail composition according to claim 10, wherein the at least one film forming agent comprises an acrylate film forming agent.
13. The cosmetic nail composition according to claim 12, wherein the acrylate film forming agent includes acrylates copolymer, acrylates/isobornyl acrylate copolymer, and/or tricyclodecanedimenahnol diacrylate.
",Film Forming Agents,comprise,Cellulose,0.88,,
"12. The cosmetic nail composition according to claim 10, wherein the at least one film forming agent comprises an acrylate film forming agent.
13. The cosmetic nail composition according to claim 12, wherein the acrylate film forming agent includes acrylates copolymer, acrylates/isobornyl acrylate copolymer, and/or tricyclodecanedimenahnol diacrylate.
",Film Forming Agents,comprise,Acrylate-Based,0.88,,
"12. The cosmetic nail composition according to claim 10, wherein the at least one film forming agent comprises an acrylate film forming agent.
13. The cosmetic nail composition according to claim 12, wherein the acrylate film forming agent includes acrylates copolymer, acrylates/isobornyl acrylate copolymer, and/or tricyclodecanedimenahnol diacrylate.
",Acrylate-Based,include,acrylates copolymer,0.9,,
"12. The cosmetic nail composition according to claim 10, wherein the at least one film forming agent comprises an acrylate film forming agent.
13. The cosmetic nail composition according to claim 12, wherein the acrylate film forming agent includes acrylates copolymer, acrylates/isobornyl acrylate copolymer, and/or tricyclodecanedimenahnol diacrylate.
",Acrylate-Based,include,acrylates/isobornyl acrylate copolymer,0.9,,
"12. The cosmetic nail composition according to claim 10, wherein the at least one film forming agent comprises an acrylate film forming agent.
13. The cosmetic nail composition according to claim 12, wherein the acrylate film forming agent includes acrylates copolymer, acrylates/isobornyl acrylate copolymer, and/or tricyclodecanedimenahnol diacrylate.
",Acrylate-Based,include,tricyclodecanedimenahnol diacrylate,0.9,,
"14. The cosmetic nail composition according to claim 12, wherein the at least one film forming agent comprises one or more co-film forming agents.
15. The cosmetic nail composition according to claim 14, wherein the one or more co-film forming agents includes adipic acid/neopentyl glycol/trimellitic anhydride copolymer and/or hydrogenated acetophenone/oxymethylene copolymer.
16. The cosmetic nail composition according to claim 15, wherein the one or more co-film forming agents comprises an epoxy resin.
17. The cosmetic nail composition according to claim 16, wherein the epoxy resin is a tosylamide epoxy resin.
18. The cosmetic nail composition according to claim 14, wherein the acrylate film forming agent is present in a total amount, by weight, that is less than both the total amount of co-film forming agent and the total amount of cellulose film forming agent.
",cosmetic nail composition,comprises,one or more co-film forming agents,0.9,,
"14. The cosmetic nail composition according to claim 12, wherein the at least one film forming agent comprises one or more co-film forming agents.
15. The cosmetic nail composition according to claim 14, wherein the one or more co-film forming agents includes adipic acid/neopentyl glycol/trimellitic anhydride copolymer and/or hydrogenated acetophenone/oxymethylene copolymer.
16. The cosmetic nail composition according to claim 15, wherein the one or more co-film forming agents comprises an epoxy resin.
17. The cosmetic nail composition according to claim 16, wherein the epoxy resin is a tosylamide epoxy resin.
18. The cosmetic nail composition according to claim 14, wherein the acrylate film forming agent is present in a total amount, by weight, that is less than both the total amount of co-film forming agent and the total amount of cellulose film forming agent.
",one or more co-film forming agents,includes,adipic acid/neopentyl glycol/trimellitic anhydride copolymer,0.88,,
"14. The cosmetic nail composition according to claim 12, wherein the at least one film forming agent comprises one or more co-film forming agents.
15. The cosmetic nail composition according to claim 14, wherein the one or more co-film forming agents includes adipic acid/neopentyl glycol/trimellitic anhydride copolymer and/or hydrogenated acetophenone/oxymethylene copolymer.
16. The cosmetic nail composition according to claim 15, wherein the one or more co-film forming agents comprises an epoxy resin.
17. The cosmetic nail composition according to claim 16, wherein the epoxy resin is a tosylamide epoxy resin.
18. The cosmetic nail composition according to claim 14, wherein the acrylate film forming agent is present in a total amount, by weight, that is less than both the total amount of co-film forming agent and the total amount of cellulose film forming agent.
",one or more co-film forming agents,includes,hydrogenated acetophenone/oxymethylene copolymer,0.88,,
"14. The cosmetic nail composition according to claim 12, wherein the at least one film forming agent comprises one or more co-film forming agents.
15. The cosmetic nail composition according to claim 14, wherein the one or more co-film forming agents includes adipic acid/neopentyl glycol/trimellitic anhydride copolymer and/or hydrogenated acetophenone/oxymethylene copolymer.
16. The cosmetic nail composition according to claim 15, wherein the one or more co-film forming agents comprises an epoxy resin.
17. The cosmetic nail composition according to claim 16, wherein the epoxy resin is a tosylamide epoxy resin.
18. The cosmetic nail composition according to claim 14, wherein the acrylate film forming agent is present in a total amount, by weight, that is less than both the total amount of co-film forming agent and the total amount of cellulose film forming agent.
",cosmetic nail composition,comprises,an epoxy resin,0.87,,
"14. The cosmetic nail composition according to claim 12, wherein the at least one film forming agent comprises one or more co-film forming agents.
15. The cosmetic nail composition according to claim 14, wherein the one or more co-film forming agents includes adipic acid/neopentyl glycol/trimellitic anhydride copolymer and/or hydrogenated acetophenone/oxymethylene copolymer.
16. The cosmetic nail composition according to claim 15, wherein the one or more co-film forming agents comprises an epoxy resin.
17. The cosmetic nail composition according to claim 16, wherein the epoxy resin is a tosylamide epoxy resin.
18. The cosmetic nail composition according to claim 14, wherein the acrylate film forming agent is present in a total amount, by weight, that is less than both the total amount of co-film forming agent and the total amount of cellulose film forming agent.
",epoxy resin,is,tosylamide epoxy resin,0.9,,
"14. The cosmetic nail composition according to claim 12, wherein the at least one film forming agent comprises one or more co-film forming agents.
15. The cosmetic nail composition according to claim 14, wherein the one or more co-film forming agents includes adipic acid/neopentyl glycol/trimellitic anhydride copolymer and/or hydrogenated acetophenone/oxymethylene copolymer.
16. The cosmetic nail composition according to claim 15, wherein the one or more co-film forming agents comprises an epoxy resin.
17. The cosmetic nail composition according to claim 16, wherein the epoxy resin is a tosylamide epoxy resin.
18. The cosmetic nail composition according to claim 14, wherein the acrylate film forming agent is present in a total amount, by weight, that is less than both the total amount of co-film forming agent and the total amount of cellulose film forming agent.
",cosmetic nail composition,contains,acrylate film forming agent,0.86,,
"14. The cosmetic nail composition according to claim 12, wherein the at least one film forming agent comprises one or more co-film forming agents.
15. The cosmetic nail composition according to claim 14, wherein the one or more co-film forming agents includes adipic acid/neopentyl glycol/trimellitic anhydride copolymer and/or hydrogenated acetophenone/oxymethylene copolymer.
16. The cosmetic nail composition according to claim 15, wherein the one or more co-film forming agents comprises an epoxy resin.
17. The cosmetic nail composition according to claim 16, wherein the epoxy resin is a tosylamide epoxy resin.
18. The cosmetic nail composition according to claim 14, wherein the acrylate film forming agent is present in a total amount, by weight, that is less than both the total amount of co-film forming agent and the total amount of cellulose film forming agent.
",acrylate film forming agent,is present in a total amount that is less than,total amount of co-film forming agent,0.85,,
"14. The cosmetic nail composition according to claim 12, wherein the at least one film forming agent comprises one or more co-film forming agents.
15. The cosmetic nail composition according to claim 14, wherein the one or more co-film forming agents includes adipic acid/neopentyl glycol/trimellitic anhydride copolymer and/or hydrogenated acetophenone/oxymethylene copolymer.
16. The cosmetic nail composition according to claim 15, wherein the one or more co-film forming agents comprises an epoxy resin.
17. The cosmetic nail composition according to claim 16, wherein the epoxy resin is a tosylamide epoxy resin.
18. The cosmetic nail composition according to claim 14, wherein the acrylate film forming agent is present in a total amount, by weight, that is less than both the total amount of co-film forming agent and the total amount of cellulose film forming agent.
",acrylate film forming agent,is present in a total amount that is less than,total amount of cellulose film forming agent,0.85,,
"19. The cosmetic nail composition according to claim 14, further comprising a colorant.
20. The cosmetic nail composition according to claim 19, further comprising at least one additional component, the at least one additional component being present in a total amount of no more than 5% by weight of the cosmetic nail composition.
21. The cosmetic nail composition according to claim 19, further comprising a filler, a pH adjusting agent, a UV absorbing agent, or a combination thereof.
",The cosmetic nail composition,is according to,Claim 14,0.95,,
"19. The cosmetic nail composition according to claim 14, further comprising a colorant.
20. The cosmetic nail composition according to claim 19, further comprising at least one additional component, the at least one additional component being present in a total amount of no more than 5% by weight of the cosmetic nail composition.
21. The cosmetic nail composition according to claim 19, further comprising a filler, a pH adjusting agent, a UV absorbing agent, or a combination thereof.
",The cosmetic nail composition,comprises,a colorant,0.93,,
"19. The cosmetic nail composition according to claim 14, further comprising a colorant.
20. The cosmetic nail composition according to claim 19, further comprising at least one additional component, the at least one additional component being present in a total amount of no more than 5% by weight of the cosmetic nail composition.
21. The cosmetic nail composition according to claim 19, further comprising a filler, a pH adjusting agent, a UV absorbing agent, or a combination thereof.
",The cosmetic nail composition,is according to,Claim 19,0.94,,
"19. The cosmetic nail composition according to claim 14, further comprising a colorant.
20. The cosmetic nail composition according to claim 19, further comprising at least one additional component, the at least one additional component being present in a total amount of no more than 5% by weight of the cosmetic nail composition.
21. The cosmetic nail composition according to claim 19, further comprising a filler, a pH adjusting agent, a UV absorbing agent, or a combination thereof.
",The cosmetic nail composition,comprises,at least one additional component,0.92,,
"19. The cosmetic nail composition according to claim 14, further comprising a colorant.
20. The cosmetic nail composition according to claim 19, further comprising at least one additional component, the at least one additional component being present in a total amount of no more than 5% by weight of the cosmetic nail composition.
21. The cosmetic nail composition according to claim 19, further comprising a filler, a pH adjusting agent, a UV absorbing agent, or a combination thereof.
",The cosmetic nail composition,comprises,a filler,0.91,,
"19. The cosmetic nail composition according to claim 14, further comprising a colorant.
20. The cosmetic nail composition according to claim 19, further comprising at least one additional component, the at least one additional component being present in a total amount of no more than 5% by weight of the cosmetic nail composition.
21. The cosmetic nail composition according to claim 19, further comprising a filler, a pH adjusting agent, a UV absorbing agent, or a combination thereof.
",The cosmetic nail composition,comprises,a pH adjusting agent,0.91,,
"19. The cosmetic nail composition according to claim 14, further comprising a colorant.
20. The cosmetic nail composition according to claim 19, further comprising at least one additional component, the at least one additional component being present in a total amount of no more than 5% by weight of the cosmetic nail composition.
21. The cosmetic nail composition according to claim 19, further comprising a filler, a pH adjusting agent, a UV absorbing agent, or a combination thereof.
",The cosmetic nail composition,comprises,a UV absorbing agent,0.9,,
"23. A method for providing a nail composition with improved wear, comprising: applying a composition according to claim 1 to a nail; and curing the composition by exposing the composition to an ultraviolet (UV) light.
24. The method according to claim 23, further comprising removing the composition after a period of time.",Method for Application and Curing,provides,a nail composition with improved wear,0.9,,
"23. A method for providing a nail composition with improved wear, comprising: applying a composition according to claim 1 to a nail; and curing the composition by exposing the composition to an ultraviolet (UV) light.
24. The method according to claim 23, further comprising removing the composition after a period of time.",Method for Application and Curing,comprises,applying a composition according to claim 1 to a nail,0.88,,
"23. A method for providing a nail composition with improved wear, comprising: applying a composition according to claim 1 to a nail; and curing the composition by exposing the composition to an ultraviolet (UV) light.
24. The method according to claim 23, further comprising removing the composition after a period of time.",Method for Application and Curing,involves,curing the composition by exposing the composition to ultraviolet (UV) light,0.92,,
"23. A method for providing a nail composition with improved wear, comprising: applying a composition according to claim 1 to a nail; and curing the composition by exposing the composition to an ultraviolet (UV) light.
24. The method according to claim 23, further comprising removing the composition after a period of time.",Method for Application and Curing,further comprises,removing the composition after a period of time,0.87,,
"22. The cosmetic nail composition according to claim 1, wherein the plurality of UV-curable materials comprises a first UV-curable material and second UV-curable material, the first UV- curable material present in an amount of 8-15% by weight of the cosmetic nail composition, the second UV-curable material present in an amount of 2-8% by weight of the cosmetic nail composition; wherein the photoinitiator is present in an amount of 2-8% by weight of the cosmetic nail composition; wherein the plurality of solvents is present in a total amount of 50-70% by weight of the cosmetic nail composition; and wherein the cosmetic nail composition further comprises: a plurality of film formers present in a total amount of 5-20% by weight of the cosmetic nail composition; a UV absorbing agent present in a total amount of no more than 1% by weight of the cosmetic nail composition; a pH adjusting agent present in a total amount of no more than 1% by weight of the cosmetic nail composition; a filler present in a total amount of no more than 2% by weight of the cosmetic nail composition; and a colorant; wherein the cosmetic nail composition is substantially free of all other materials.
",cosmetic nail composition,comprises,first UV-curable material,0.95,,
"22. The cosmetic nail composition according to claim 1, wherein the plurality of UV-curable materials comprises a first UV-curable material and second UV-curable material, the first UV- curable material present in an amount of 8-15% by weight of the cosmetic nail composition, the second UV-curable material present in an amount of 2-8% by weight of the cosmetic nail composition; wherein the photoinitiator is present in an amount of 2-8% by weight of the cosmetic nail composition; wherein the plurality of solvents is present in a total amount of 50-70% by weight of the cosmetic nail composition; and wherein the cosmetic nail composition further comprises: a plurality of film formers present in a total amount of 5-20% by weight of the cosmetic nail composition; a UV absorbing agent present in a total amount of no more than 1% by weight of the cosmetic nail composition; a pH adjusting agent present in a total amount of no more than 1% by weight of the cosmetic nail composition; a filler present in a total amount of no more than 2% by weight of the cosmetic nail composition; and a colorant; wherein the cosmetic nail composition is substantially free of all other materials.
",cosmetic nail composition,comprises,second UV-curable material,0.95,,
"22. The cosmetic nail composition according to claim 1, wherein the plurality of UV-curable materials comprises a first UV-curable material and second UV-curable material, the first UV- curable material present in an amount of 8-15% by weight of the cosmetic nail composition, the second UV-curable material present in an amount of 2-8% by weight of the cosmetic nail composition; wherein the photoinitiator is present in an amount of 2-8% by weight of the cosmetic nail composition; wherein the plurality of solvents is present in a total amount of 50-70% by weight of the cosmetic nail composition; and wherein the cosmetic nail composition further comprises: a plurality of film formers present in a total amount of 5-20% by weight of the cosmetic nail composition; a UV absorbing agent present in a total amount of no more than 1% by weight of the cosmetic nail composition; a pH adjusting agent present in a total amount of no more than 1% by weight of the cosmetic nail composition; a filler present in a total amount of no more than 2% by weight of the cosmetic nail composition; and a colorant; wherein the cosmetic nail composition is substantially free of all other materials.
",first UV-curable material,present in,8-15% by weight of the cosmetic nail composition,0.9,,
"22. The cosmetic nail composition according to claim 1, wherein the plurality of UV-curable materials comprises a first UV-curable material and second UV-curable material, the first UV- curable material present in an amount of 8-15% by weight of the cosmetic nail composition, the second UV-curable material present in an amount of 2-8% by weight of the cosmetic nail composition; wherein the photoinitiator is present in an amount of 2-8% by weight of the cosmetic nail composition; wherein the plurality of solvents is present in a total amount of 50-70% by weight of the cosmetic nail composition; and wherein the cosmetic nail composition further comprises: a plurality of film formers present in a total amount of 5-20% by weight of the cosmetic nail composition; a UV absorbing agent present in a total amount of no more than 1% by weight of the cosmetic nail composition; a pH adjusting agent present in a total amount of no more than 1% by weight of the cosmetic nail composition; a filler present in a total amount of no more than 2% by weight of the cosmetic nail composition; and a colorant; wherein the cosmetic nail composition is substantially free of all other materials.
",second UV-curable material,present in,2-8% by weight of the cosmetic nail composition,0.9,,
"22. The cosmetic nail composition according to claim 1, wherein the plurality of UV-curable materials comprises a first UV-curable material and second UV-curable material, the first UV- curable material present in an amount of 8-15% by weight of the cosmetic nail composition, the second UV-curable material present in an amount of 2-8% by weight of the cosmetic nail composition; wherein the photoinitiator is present in an amount of 2-8% by weight of the cosmetic nail composition; wherein the plurality of solvents is present in a total amount of 50-70% by weight of the cosmetic nail composition; and wherein the cosmetic nail composition further comprises: a plurality of film formers present in a total amount of 5-20% by weight of the cosmetic nail composition; a UV absorbing agent present in a total amount of no more than 1% by weight of the cosmetic nail composition; a pH adjusting agent present in a total amount of no more than 1% by weight of the cosmetic nail composition; a filler present in a total amount of no more than 2% by weight of the cosmetic nail composition; and a colorant; wherein the cosmetic nail composition is substantially free of all other materials.
",photoinitiator,present in,2-8% by weight of the cosmetic nail composition,0.9,,
