ChunkContent,Subject,Predicate,Object,Confidence,Expert Answer,Short Justification,<- Fill the Answers in these columns
"12. The composition according to any one of claims 1 to 10, wherein the composition has a viscosity ranging from 60 UD to 90 UD, as determined at 25 °C, using a Rheomat 100 Plus viscometer equipped with a spindle M1 rotating at 200 rpm.
14
5
10
15
WO 2023/060387 PCT/CN2021/123045
13. The composition according to claim 1, comprising, relative to the total weight of the composition:
a) from 0.01 wt.% to 0.2 wt.% of vitreoscilla ferment; b) from 0.05 wt.% to 0.3 wt.% of at least one acrylic acid homopolymer crosslinked with an allyl ether of pentaerythritol, an allyl ether of sucrose, or an allyl ether of propylene;
c) from 0.05 wt.% to 0.2 wt.% of at least one xanthan gum; and d) from 0.02 wt.% to 0.15 wt.% of at least one polymer selected from alginic acid, sodium alginate, ammonium alginate, and potassium alginate, and a mixture thereof,
wherein the composition has a viscosity in the range 60-90 UD, as determined at 25 °C, using a Rheomat 100 Plus viscometer equipped with a spindle M1 rotating at 200 rpm.
",WO 2023/060387,comprises,0.05 wt.% to 0.2 wt.% of at least one xanthan gum,0.9,,,
"12. The composition according to any one of claims 1 to 10, wherein the composition has a viscosity ranging from 60 UD to 90 UD, as determined at 25 °C, using a Rheomat 100 Plus viscometer equipped with a spindle M1 rotating at 200 rpm.
14
5
10
15
WO 2023/060387 PCT/CN2021/123045
13. The composition according to claim 1, comprising, relative to the total weight of the composition:
a) from 0.01 wt.% to 0.2 wt.% of vitreoscilla ferment; b) from 0.05 wt.% to 0.3 wt.% of at least one acrylic acid homopolymer crosslinked with an allyl ether of pentaerythritol, an allyl ether of sucrose, or an allyl ether of propylene;
c) from 0.05 wt.% to 0.2 wt.% of at least one xanthan gum; and d) from 0.02 wt.% to 0.15 wt.% of at least one polymer selected from alginic acid, sodium alginate, ammonium alginate, and potassium alginate, and a mixture thereof,
wherein the composition has a viscosity in the range 60-90 UD, as determined at 25 °C, using a Rheomat 100 Plus viscometer equipped with a spindle M1 rotating at 200 rpm.
",WO 2023/060387,comprises,"0.02 wt.% to 0.15 wt.% of at least one polymer selected from alginic acid, sodium alginate, ammonium alginate, and potassium alginate",0.9,,,
"10. The composition according to claim 9, wherein the mineral salt is selected from calcium chloride, calcium sulfate, calcium nitrate, calcium carbonate and calcium hydrogen carbonate, sodium chloride, sodium sulfate, sodium nitrate, sodium carbonate and sodium hydrogen carbonate, potassium chloride, potassium sulfate, potassium nitrate, potassium carbonate and potassium hydrogen carbonate, lithium chloride, lithium sulfate, lithium nitrate, lithium carbonate and lithium hydrogen carbonate, magnesium chloride, magnesium sulfate, magnesium nitrate, magnesium carbonate and magnesium hydrogen carbonate, , and mixtures thereof.
",the composition,is selected from,calcium chloride,0.95,,,
"10. The composition according to claim 9, wherein the mineral salt is selected from calcium chloride, calcium sulfate, calcium nitrate, calcium carbonate and calcium hydrogen carbonate, sodium chloride, sodium sulfate, sodium nitrate, sodium carbonate and sodium hydrogen carbonate, potassium chloride, potassium sulfate, potassium nitrate, potassium carbonate and potassium hydrogen carbonate, lithium chloride, lithium sulfate, lithium nitrate, lithium carbonate and lithium hydrogen carbonate, magnesium chloride, magnesium sulfate, magnesium nitrate, magnesium carbonate and magnesium hydrogen carbonate, , and mixtures thereof.
",the composition,is selected from,calcium sulfate,0.95,,,
"10. The composition according to claim 9, wherein the mineral salt is selected from calcium chloride, calcium sulfate, calcium nitrate, calcium carbonate and calcium hydrogen carbonate, sodium chloride, sodium sulfate, sodium nitrate, sodium carbonate and sodium hydrogen carbonate, potassium chloride, potassium sulfate, potassium nitrate, potassium carbonate and potassium hydrogen carbonate, lithium chloride, lithium sulfate, lithium nitrate, lithium carbonate and lithium hydrogen carbonate, magnesium chloride, magnesium sulfate, magnesium nitrate, magnesium carbonate and magnesium hydrogen carbonate, , and mixtures thereof.
",the composition,is selected from,calcium nitrate,0.95,,,
"10. The composition according to claim 9, wherein the mineral salt is selected from calcium chloride, calcium sulfate, calcium nitrate, calcium carbonate and calcium hydrogen carbonate, sodium chloride, sodium sulfate, sodium nitrate, sodium carbonate and sodium hydrogen carbonate, potassium chloride, potassium sulfate, potassium nitrate, potassium carbonate and potassium hydrogen carbonate, lithium chloride, lithium sulfate, lithium nitrate, lithium carbonate and lithium hydrogen carbonate, magnesium chloride, magnesium sulfate, magnesium nitrate, magnesium carbonate and magnesium hydrogen carbonate, , and mixtures thereof.
",the composition,is selected from,calcium carbonate,0.95,,,
"10. The composition according to claim 9, wherein the mineral salt is selected from calcium chloride, calcium sulfate, calcium nitrate, calcium carbonate and calcium hydrogen carbonate, sodium chloride, sodium sulfate, sodium nitrate, sodium carbonate and sodium hydrogen carbonate, potassium chloride, potassium sulfate, potassium nitrate, potassium carbonate and potassium hydrogen carbonate, lithium chloride, lithium sulfate, lithium nitrate, lithium carbonate and lithium hydrogen carbonate, magnesium chloride, magnesium sulfate, magnesium nitrate, magnesium carbonate and magnesium hydrogen carbonate, , and mixtures thereof.
",the composition,is selected from,calcium hydrogen carbonate,0.95,,,
"10. The composition according to claim 9, wherein the mineral salt is selected from calcium chloride, calcium sulfate, calcium nitrate, calcium carbonate and calcium hydrogen carbonate, sodium chloride, sodium sulfate, sodium nitrate, sodium carbonate and sodium hydrogen carbonate, potassium chloride, potassium sulfate, potassium nitrate, potassium carbonate and potassium hydrogen carbonate, lithium chloride, lithium sulfate, lithium nitrate, lithium carbonate and lithium hydrogen carbonate, magnesium chloride, magnesium sulfate, magnesium nitrate, magnesium carbonate and magnesium hydrogen carbonate, , and mixtures thereof.
",the composition,is selected from,sodium chloride,0.95,,,
"10. The composition according to claim 9, wherein the mineral salt is selected from calcium chloride, calcium sulfate, calcium nitrate, calcium carbonate and calcium hydrogen carbonate, sodium chloride, sodium sulfate, sodium nitrate, sodium carbonate and sodium hydrogen carbonate, potassium chloride, potassium sulfate, potassium nitrate, potassium carbonate and potassium hydrogen carbonate, lithium chloride, lithium sulfate, lithium nitrate, lithium carbonate and lithium hydrogen carbonate, magnesium chloride, magnesium sulfate, magnesium nitrate, magnesium carbonate and magnesium hydrogen carbonate, , and mixtures thereof.
",the composition,is selected from,sodium sulfate,0.95,,,
"10. The composition according to claim 9, wherein the mineral salt is selected from calcium chloride, calcium sulfate, calcium nitrate, calcium carbonate and calcium hydrogen carbonate, sodium chloride, sodium sulfate, sodium nitrate, sodium carbonate and sodium hydrogen carbonate, potassium chloride, potassium sulfate, potassium nitrate, potassium carbonate and potassium hydrogen carbonate, lithium chloride, lithium sulfate, lithium nitrate, lithium carbonate and lithium hydrogen carbonate, magnesium chloride, magnesium sulfate, magnesium nitrate, magnesium carbonate and magnesium hydrogen carbonate, , and mixtures thereof.
",the composition,is selected from,sodium nitrate,0.95,,,
"10. The composition according to claim 9, wherein the mineral salt is selected from calcium chloride, calcium sulfate, calcium nitrate, calcium carbonate and calcium hydrogen carbonate, sodium chloride, sodium sulfate, sodium nitrate, sodium carbonate and sodium hydrogen carbonate, potassium chloride, potassium sulfate, potassium nitrate, potassium carbonate and potassium hydrogen carbonate, lithium chloride, lithium sulfate, lithium nitrate, lithium carbonate and lithium hydrogen carbonate, magnesium chloride, magnesium sulfate, magnesium nitrate, magnesium carbonate and magnesium hydrogen carbonate, , and mixtures thereof.
",the composition,is selected from,sodium carbonate,0.95,,,
"10. The composition according to claim 9, wherein the mineral salt is selected from calcium chloride, calcium sulfate, calcium nitrate, calcium carbonate and calcium hydrogen carbonate, sodium chloride, sodium sulfate, sodium nitrate, sodium carbonate and sodium hydrogen carbonate, potassium chloride, potassium sulfate, potassium nitrate, potassium carbonate and potassium hydrogen carbonate, lithium chloride, lithium sulfate, lithium nitrate, lithium carbonate and lithium hydrogen carbonate, magnesium chloride, magnesium sulfate, magnesium nitrate, magnesium carbonate and magnesium hydrogen carbonate, , and mixtures thereof.
",the composition,is selected from,sodium hydrogen carbonate,0.95,,,
"10. The composition according to claim 9, wherein the mineral salt is selected from calcium chloride, calcium sulfate, calcium nitrate, calcium carbonate and calcium hydrogen carbonate, sodium chloride, sodium sulfate, sodium nitrate, sodium carbonate and sodium hydrogen carbonate, potassium chloride, potassium sulfate, potassium nitrate, potassium carbonate and potassium hydrogen carbonate, lithium chloride, lithium sulfate, lithium nitrate, lithium carbonate and lithium hydrogen carbonate, magnesium chloride, magnesium sulfate, magnesium nitrate, magnesium carbonate and magnesium hydrogen carbonate, , and mixtures thereof.
",the composition,is selected from,potassium chloride,0.95,,,
"10. The composition according to claim 9, wherein the mineral salt is selected from calcium chloride, calcium sulfate, calcium nitrate, calcium carbonate and calcium hydrogen carbonate, sodium chloride, sodium sulfate, sodium nitrate, sodium carbonate and sodium hydrogen carbonate, potassium chloride, potassium sulfate, potassium nitrate, potassium carbonate and potassium hydrogen carbonate, lithium chloride, lithium sulfate, lithium nitrate, lithium carbonate and lithium hydrogen carbonate, magnesium chloride, magnesium sulfate, magnesium nitrate, magnesium carbonate and magnesium hydrogen carbonate, , and mixtures thereof.
",the composition,is selected from,potassium sulfate,0.95,,,
"10. The composition according to claim 9, wherein the mineral salt is selected from calcium chloride, calcium sulfate, calcium nitrate, calcium carbonate and calcium hydrogen carbonate, sodium chloride, sodium sulfate, sodium nitrate, sodium carbonate and sodium hydrogen carbonate, potassium chloride, potassium sulfate, potassium nitrate, potassium carbonate and potassium hydrogen carbonate, lithium chloride, lithium sulfate, lithium nitrate, lithium carbonate and lithium hydrogen carbonate, magnesium chloride, magnesium sulfate, magnesium nitrate, magnesium carbonate and magnesium hydrogen carbonate, , and mixtures thereof.
",the composition,is selected from,potassium nitrate,0.95,,,
"10. The composition according to claim 9, wherein the mineral salt is selected from calcium chloride, calcium sulfate, calcium nitrate, calcium carbonate and calcium hydrogen carbonate, sodium chloride, sodium sulfate, sodium nitrate, sodium carbonate and sodium hydrogen carbonate, potassium chloride, potassium sulfate, potassium nitrate, potassium carbonate and potassium hydrogen carbonate, lithium chloride, lithium sulfate, lithium nitrate, lithium carbonate and lithium hydrogen carbonate, magnesium chloride, magnesium sulfate, magnesium nitrate, magnesium carbonate and magnesium hydrogen carbonate, , and mixtures thereof.
",the composition,is selected from,potassium carbonate,0.95,,,
"10. The composition according to claim 9, wherein the mineral salt is selected from calcium chloride, calcium sulfate, calcium nitrate, calcium carbonate and calcium hydrogen carbonate, sodium chloride, sodium sulfate, sodium nitrate, sodium carbonate and sodium hydrogen carbonate, potassium chloride, potassium sulfate, potassium nitrate, potassium carbonate and potassium hydrogen carbonate, lithium chloride, lithium sulfate, lithium nitrate, lithium carbonate and lithium hydrogen carbonate, magnesium chloride, magnesium sulfate, magnesium nitrate, magnesium carbonate and magnesium hydrogen carbonate, , and mixtures thereof.
",the composition,is selected from,potassium hydrogen carbonate,0.95,,,
"10. The composition according to claim 9, wherein the mineral salt is selected from calcium chloride, calcium sulfate, calcium nitrate, calcium carbonate and calcium hydrogen carbonate, sodium chloride, sodium sulfate, sodium nitrate, sodium carbonate and sodium hydrogen carbonate, potassium chloride, potassium sulfate, potassium nitrate, potassium carbonate and potassium hydrogen carbonate, lithium chloride, lithium sulfate, lithium nitrate, lithium carbonate and lithium hydrogen carbonate, magnesium chloride, magnesium sulfate, magnesium nitrate, magnesium carbonate and magnesium hydrogen carbonate, , and mixtures thereof.
",the composition,is selected from,lithium chloride,0.95,,,
"10. The composition according to claim 9, wherein the mineral salt is selected from calcium chloride, calcium sulfate, calcium nitrate, calcium carbonate and calcium hydrogen carbonate, sodium chloride, sodium sulfate, sodium nitrate, sodium carbonate and sodium hydrogen carbonate, potassium chloride, potassium sulfate, potassium nitrate, potassium carbonate and potassium hydrogen carbonate, lithium chloride, lithium sulfate, lithium nitrate, lithium carbonate and lithium hydrogen carbonate, magnesium chloride, magnesium sulfate, magnesium nitrate, magnesium carbonate and magnesium hydrogen carbonate, , and mixtures thereof.
",the composition,is selected from,lithium sulfate,0.95,,,
"10. The composition according to claim 9, wherein the mineral salt is selected from calcium chloride, calcium sulfate, calcium nitrate, calcium carbonate and calcium hydrogen carbonate, sodium chloride, sodium sulfate, sodium nitrate, sodium carbonate and sodium hydrogen carbonate, potassium chloride, potassium sulfate, potassium nitrate, potassium carbonate and potassium hydrogen carbonate, lithium chloride, lithium sulfate, lithium nitrate, lithium carbonate and lithium hydrogen carbonate, magnesium chloride, magnesium sulfate, magnesium nitrate, magnesium carbonate and magnesium hydrogen carbonate, , and mixtures thereof.
",the composition,is selected from,lithium nitrate,0.95,,,
"10. The composition according to claim 9, wherein the mineral salt is selected from calcium chloride, calcium sulfate, calcium nitrate, calcium carbonate and calcium hydrogen carbonate, sodium chloride, sodium sulfate, sodium nitrate, sodium carbonate and sodium hydrogen carbonate, potassium chloride, potassium sulfate, potassium nitrate, potassium carbonate and potassium hydrogen carbonate, lithium chloride, lithium sulfate, lithium nitrate, lithium carbonate and lithium hydrogen carbonate, magnesium chloride, magnesium sulfate, magnesium nitrate, magnesium carbonate and magnesium hydrogen carbonate, , and mixtures thereof.
",the composition,is selected from,lithium carbonate,0.95,,,
"10. The composition according to claim 9, wherein the mineral salt is selected from calcium chloride, calcium sulfate, calcium nitrate, calcium carbonate and calcium hydrogen carbonate, sodium chloride, sodium sulfate, sodium nitrate, sodium carbonate and sodium hydrogen carbonate, potassium chloride, potassium sulfate, potassium nitrate, potassium carbonate and potassium hydrogen carbonate, lithium chloride, lithium sulfate, lithium nitrate, lithium carbonate and lithium hydrogen carbonate, magnesium chloride, magnesium sulfate, magnesium nitrate, magnesium carbonate and magnesium hydrogen carbonate, , and mixtures thereof.
",the composition,is selected from,lithium hydrogen carbonate,0.95,,,
"10. The composition according to claim 9, wherein the mineral salt is selected from calcium chloride, calcium sulfate, calcium nitrate, calcium carbonate and calcium hydrogen carbonate, sodium chloride, sodium sulfate, sodium nitrate, sodium carbonate and sodium hydrogen carbonate, potassium chloride, potassium sulfate, potassium nitrate, potassium carbonate and potassium hydrogen carbonate, lithium chloride, lithium sulfate, lithium nitrate, lithium carbonate and lithium hydrogen carbonate, magnesium chloride, magnesium sulfate, magnesium nitrate, magnesium carbonate and magnesium hydrogen carbonate, , and mixtures thereof.
",the composition,is selected from,magnesium chloride,0.95,,,
"10. The composition according to claim 9, wherein the mineral salt is selected from calcium chloride, calcium sulfate, calcium nitrate, calcium carbonate and calcium hydrogen carbonate, sodium chloride, sodium sulfate, sodium nitrate, sodium carbonate and sodium hydrogen carbonate, potassium chloride, potassium sulfate, potassium nitrate, potassium carbonate and potassium hydrogen carbonate, lithium chloride, lithium sulfate, lithium nitrate, lithium carbonate and lithium hydrogen carbonate, magnesium chloride, magnesium sulfate, magnesium nitrate, magnesium carbonate and magnesium hydrogen carbonate, , and mixtures thereof.
",the composition,is selected from,magnesium sulfate,0.95,,,
"10. The composition according to claim 9, wherein the mineral salt is selected from calcium chloride, calcium sulfate, calcium nitrate, calcium carbonate and calcium hydrogen carbonate, sodium chloride, sodium sulfate, sodium nitrate, sodium carbonate and sodium hydrogen carbonate, potassium chloride, potassium sulfate, potassium nitrate, potassium carbonate and potassium hydrogen carbonate, lithium chloride, lithium sulfate, lithium nitrate, lithium carbonate and lithium hydrogen carbonate, magnesium chloride, magnesium sulfate, magnesium nitrate, magnesium carbonate and magnesium hydrogen carbonate, , and mixtures thereof.
",the composition,is selected from,magnesium nitrate,0.95,,,
"10. The composition according to claim 9, wherein the mineral salt is selected from calcium chloride, calcium sulfate, calcium nitrate, calcium carbonate and calcium hydrogen carbonate, sodium chloride, sodium sulfate, sodium nitrate, sodium carbonate and sodium hydrogen carbonate, potassium chloride, potassium sulfate, potassium nitrate, potassium carbonate and potassium hydrogen carbonate, lithium chloride, lithium sulfate, lithium nitrate, lithium carbonate and lithium hydrogen carbonate, magnesium chloride, magnesium sulfate, magnesium nitrate, magnesium carbonate and magnesium hydrogen carbonate, , and mixtures thereof.
",the composition,is selected from,magnesium carbonate,0.95,,,
"10. The composition according to claim 9, wherein the mineral salt is selected from calcium chloride, calcium sulfate, calcium nitrate, calcium carbonate and calcium hydrogen carbonate, sodium chloride, sodium sulfate, sodium nitrate, sodium carbonate and sodium hydrogen carbonate, potassium chloride, potassium sulfate, potassium nitrate, potassium carbonate and potassium hydrogen carbonate, lithium chloride, lithium sulfate, lithium nitrate, lithium carbonate and lithium hydrogen carbonate, magnesium chloride, magnesium sulfate, magnesium nitrate, magnesium carbonate and magnesium hydrogen carbonate, , and mixtures thereof.
",the composition,is selected from,magnesium hydrogen carbonate,0.95,,,
"INTERNATIONAL SEARCH REPORT International application No. PCT/CN2021/123045
A. CLASSIFICATION OF SUBJECT MATTER A61K 8/02(2006.01)i
According to International Patent Classification (IPC) or to both national classification and IPC B. FIELDS SEARCHED
Minimum documentation searched (classification system followed by classification symbols) A61K 8/-
Documentation searched other than minimum documentation to the extent that such documents are included in the fields searched
Electronic data base consulted during the international search (name of data base and, where practicable, search terms used)
CNABS,CNTXT,DWPI,ENTXT,CNKI: keratin, acrylic, gel, xanthan gum, algin+, low viscosity, vitreoscilla ferment, silica, boron nitride
l ",PCT/CN2021/123045,is selected from,A61K 8/02,0.95,,,
"INTERNATIONAL SEARCH REPORT International application No. PCT/CN2021/123045
A. CLASSIFICATION OF SUBJECT MATTER A61K 8/02(2006.01)i
According to International Patent Classification (IPC) or to both national classification and IPC B. FIELDS SEARCHED
Minimum documentation searched (classification system followed by classification symbols) A61K 8/-
Documentation searched other than minimum documentation to the extent that such documents are included in the fields searched
Electronic data base consulted during the international search (name of data base and, where practicable, search terms used)
CNABS,CNTXT,DWPI,ENTXT,CNKI: keratin, acrylic, gel, xanthan gum, algin+, low viscosity, vitreoscilla ferment, silica, boron nitride
l ",international search report,is selected from,A61K 8/-,0.9,,,
"INTERNATIONAL SEARCH REPORT International application No. PCT/CN2021/123045
A. CLASSIFICATION OF SUBJECT MATTER A61K 8/02(2006.01)i
According to International Patent Classification (IPC) or to both national classification and IPC B. FIELDS SEARCHED
Minimum documentation searched (classification system followed by classification symbols) A61K 8/-
Documentation searched other than minimum documentation to the extent that such documents are included in the fields searched
Electronic data base consulted during the international search (name of data base and, where practicable, search terms used)
CNABS,CNTXT,DWPI,ENTXT,CNKI: keratin, acrylic, gel, xanthan gum, algin+, low viscosity, vitreoscilla ferment, silica, boron nitride
l ",search,is selected from,CNABS,0.85,,,
"INTERNATIONAL SEARCH REPORT International application No. PCT/CN2021/123045
A. CLASSIFICATION OF SUBJECT MATTER A61K 8/02(2006.01)i
According to International Patent Classification (IPC) or to both national classification and IPC B. FIELDS SEARCHED
Minimum documentation searched (classification system followed by classification symbols) A61K 8/-
Documentation searched other than minimum documentation to the extent that such documents are included in the fields searched
Electronic data base consulted during the international search (name of data base and, where practicable, search terms used)
CNABS,CNTXT,DWPI,ENTXT,CNKI: keratin, acrylic, gel, xanthan gum, algin+, low viscosity, vitreoscilla ferment, silica, boron nitride
l ",search,is selected from,CNTXT,0.85,,,
"INTERNATIONAL SEARCH REPORT International application No. PCT/CN2021/123045
A. CLASSIFICATION OF SUBJECT MATTER A61K 8/02(2006.01)i
According to International Patent Classification (IPC) or to both national classification and IPC B. FIELDS SEARCHED
Minimum documentation searched (classification system followed by classification symbols) A61K 8/-
Documentation searched other than minimum documentation to the extent that such documents are included in the fields searched
Electronic data base consulted during the international search (name of data base and, where practicable, search terms used)
CNABS,CNTXT,DWPI,ENTXT,CNKI: keratin, acrylic, gel, xanthan gum, algin+, low viscosity, vitreoscilla ferment, silica, boron nitride
l ",search,is selected from,DWPI,0.85,,,
"INTERNATIONAL SEARCH REPORT International application No. PCT/CN2021/123045
A. CLASSIFICATION OF SUBJECT MATTER A61K 8/02(2006.01)i
According to International Patent Classification (IPC) or to both national classification and IPC B. FIELDS SEARCHED
Minimum documentation searched (classification system followed by classification symbols) A61K 8/-
Documentation searched other than minimum documentation to the extent that such documents are included in the fields searched
Electronic data base consulted during the international search (name of data base and, where practicable, search terms used)
CNABS,CNTXT,DWPI,ENTXT,CNKI: keratin, acrylic, gel, xanthan gum, algin+, low viscosity, vitreoscilla ferment, silica, boron nitride
l ",search,is selected from,ENTXT,0.85,,,
"INTERNATIONAL SEARCH REPORT International application No. PCT/CN2021/123045
A. CLASSIFICATION OF SUBJECT MATTER A61K 8/02(2006.01)i
According to International Patent Classification (IPC) or to both national classification and IPC B. FIELDS SEARCHED
Minimum documentation searched (classification system followed by classification symbols) A61K 8/-
Documentation searched other than minimum documentation to the extent that such documents are included in the fields searched
Electronic data base consulted during the international search (name of data base and, where practicable, search terms used)
CNABS,CNTXT,DWPI,ENTXT,CNKI: keratin, acrylic, gel, xanthan gum, algin+, low viscosity, vitreoscilla ferment, silica, boron nitride
l ",search,is selected from,CNKI,0.85,,,
"INTERNATIONAL SEARCH REPORT International application No. PCT/CN2021/123045
A. CLASSIFICATION OF SUBJECT MATTER A61K 8/02(2006.01)i
According to International Patent Classification (IPC) or to both national classification and IPC B. FIELDS SEARCHED
Minimum documentation searched (classification system followed by classification symbols) A61K 8/-
Documentation searched other than minimum documentation to the extent that such documents are included in the fields searched
Electronic data base consulted during the international search (name of data base and, where practicable, search terms used)
CNABS,CNTXT,DWPI,ENTXT,CNKI: keratin, acrylic, gel, xanthan gum, algin+, low viscosity, vitreoscilla ferment, silica, boron nitride
l ",search terms,is selected from,keratin,0.88,,,
"INTERNATIONAL SEARCH REPORT International application No. PCT/CN2021/123045
A. CLASSIFICATION OF SUBJECT MATTER A61K 8/02(2006.01)i
According to International Patent Classification (IPC) or to both national classification and IPC B. FIELDS SEARCHED
Minimum documentation searched (classification system followed by classification symbols) A61K 8/-
Documentation searched other than minimum documentation to the extent that such documents are included in the fields searched
Electronic data base consulted during the international search (name of data base and, where practicable, search terms used)
CNABS,CNTXT,DWPI,ENTXT,CNKI: keratin, acrylic, gel, xanthan gum, algin+, low viscosity, vitreoscilla ferment, silica, boron nitride
l ",search terms,is selected from,acrylic,0.88,,,
"INTERNATIONAL SEARCH REPORT International application No. PCT/CN2021/123045
A. CLASSIFICATION OF SUBJECT MATTER A61K 8/02(2006.01)i
According to International Patent Classification (IPC) or to both national classification and IPC B. FIELDS SEARCHED
Minimum documentation searched (classification system followed by classification symbols) A61K 8/-
Documentation searched other than minimum documentation to the extent that such documents are included in the fields searched
Electronic data base consulted during the international search (name of data base and, where practicable, search terms used)
CNABS,CNTXT,DWPI,ENTXT,CNKI: keratin, acrylic, gel, xanthan gum, algin+, low viscosity, vitreoscilla ferment, silica, boron nitride
l ",search terms,is selected from,gel,0.88,,,
"INTERNATIONAL SEARCH REPORT International application No. PCT/CN2021/123045
A. CLASSIFICATION OF SUBJECT MATTER A61K 8/02(2006.01)i
According to International Patent Classification (IPC) or to both national classification and IPC B. FIELDS SEARCHED
Minimum documentation searched (classification system followed by classification symbols) A61K 8/-
Documentation searched other than minimum documentation to the extent that such documents are included in the fields searched
Electronic data base consulted during the international search (name of data base and, where practicable, search terms used)
CNABS,CNTXT,DWPI,ENTXT,CNKI: keratin, acrylic, gel, xanthan gum, algin+, low viscosity, vitreoscilla ferment, silica, boron nitride
l ",search terms,is selected from,xanthan gum,0.88,,,
"INTERNATIONAL SEARCH REPORT International application No. PCT/CN2021/123045
A. CLASSIFICATION OF SUBJECT MATTER A61K 8/02(2006.01)i
According to International Patent Classification (IPC) or to both national classification and IPC B. FIELDS SEARCHED
Minimum documentation searched (classification system followed by classification symbols) A61K 8/-
Documentation searched other than minimum documentation to the extent that such documents are included in the fields searched
Electronic data base consulted during the international search (name of data base and, where practicable, search terms used)
CNABS,CNTXT,DWPI,ENTXT,CNKI: keratin, acrylic, gel, xanthan gum, algin+, low viscosity, vitreoscilla ferment, silica, boron nitride
l ",search terms,is selected from,algin,0.88,,,
"INTERNATIONAL SEARCH REPORT International application No. PCT/CN2021/123045
A. CLASSIFICATION OF SUBJECT MATTER A61K 8/02(2006.01)i
According to International Patent Classification (IPC) or to both national classification and IPC B. FIELDS SEARCHED
Minimum documentation searched (classification system followed by classification symbols) A61K 8/-
Documentation searched other than minimum documentation to the extent that such documents are included in the fields searched
Electronic data base consulted during the international search (name of data base and, where practicable, search terms used)
CNABS,CNTXT,DWPI,ENTXT,CNKI: keratin, acrylic, gel, xanthan gum, algin+, low viscosity, vitreoscilla ferment, silica, boron nitride
l ",search terms,is selected from,low viscosity,0.88,,,
"INTERNATIONAL SEARCH REPORT International application No. PCT/CN2021/123045
A. CLASSIFICATION OF SUBJECT MATTER A61K 8/02(2006.01)i
According to International Patent Classification (IPC) or to both national classification and IPC B. FIELDS SEARCHED
Minimum documentation searched (classification system followed by classification symbols) A61K 8/-
Documentation searched other than minimum documentation to the extent that such documents are included in the fields searched
Electronic data base consulted during the international search (name of data base and, where practicable, search terms used)
CNABS,CNTXT,DWPI,ENTXT,CNKI: keratin, acrylic, gel, xanthan gum, algin+, low viscosity, vitreoscilla ferment, silica, boron nitride
l ",search terms,is selected from,vitreoscilla ferment,0.88,,,
"INTERNATIONAL SEARCH REPORT International application No. PCT/CN2021/123045
A. CLASSIFICATION OF SUBJECT MATTER A61K 8/02(2006.01)i
According to International Patent Classification (IPC) or to both national classification and IPC B. FIELDS SEARCHED
Minimum documentation searched (classification system followed by classification symbols) A61K 8/-
Documentation searched other than minimum documentation to the extent that such documents are included in the fields searched
Electronic data base consulted during the international search (name of data base and, where practicable, search terms used)
CNABS,CNTXT,DWPI,ENTXT,CNKI: keratin, acrylic, gel, xanthan gum, algin+, low viscosity, vitreoscilla ferment, silica, boron nitride
l ",search terms,is selected from,silica,0.88,,,
"INTERNATIONAL SEARCH REPORT International application No. PCT/CN2021/123045
A. CLASSIFICATION OF SUBJECT MATTER A61K 8/02(2006.01)i
According to International Patent Classification (IPC) or to both national classification and IPC B. FIELDS SEARCHED
Minimum documentation searched (classification system followed by classification symbols) A61K 8/-
Documentation searched other than minimum documentation to the extent that such documents are included in the fields searched
Electronic data base consulted during the international search (name of data base and, where practicable, search terms used)
CNABS,CNTXT,DWPI,ENTXT,CNKI: keratin, acrylic, gel, xanthan gum, algin+, low viscosity, vitreoscilla ferment, silica, boron nitride
l ",search terms,is selected from,boron nitride,0.88,,,
"Relevant to claim No. l Category* l Citation of document, with indication, where appropriate, of the relevant passages
X CN 107613949 A (L’OREAL CORP.) 19 January 2018 (2018-01-19) 1-8, 12-14 paragraphs [0001], [0006]–[0007], [0013], [0019] , [0022]-[0034]
Y ‘CN 107613949 A (L’OREAL CORP.) 19 January 2018 (2018-01-19) 9-12, 14 paragraphs [0001], [0006]–[0007], [0013], [0019], [0022]-[0034] Y ‘ CN 105722499 A (L’OREAL SA.) 29 June 2016 (2016-06-29) 9-12, 14
paragraphs [0014]-[0015], [0077], [0089]7[0093]
9-12, 14 US 2011217253 A1 (L’OREAL) 08 September 2011 (2011-09-08)
paragraphs [0017]-[0015], [0284]-[0297]
‘ CN 105188643 A (L’OREAL SA.) 23 December 2015 (2015-12-23) 1-14 claims 1-23
WO 2017103052 A1 (L’OREAL) 22 June 2017 (2017-06-22) 1-14 page 9 lines 5-21
1-14 JP 2019019115 A (DAIYA SEIYAKU K.K. et al.) 07 February 2019 (2019-02-07)
claims 1-27
",CN 107613949 A,is selected from,L'OREAL CORP.,0.95,,,
